data	n.casos
2020-03-15	312
2020-03-16	398
2020-03-17	365
2020-03-18	399
2020-03-19	387
2020-03-20	596
2020-03-21	447
2020-03-22	447
2020-03-23	565
2020-03-24	514
2020-03-25	495
2020-03-26	493
2020-03-27	443
2020-03-28	449
2020-03-29	418
2020-03-30	454
2020-03-31	405
2020-04-01	589
2020-04-02	451
2020-04-03	444
2020-04-04	425
2020-04-05	417
2020-04-06	469
2020-04-07	432
2020-04-08	467
2020-04-09	459
2020-04-10	593
2020-04-11	427
2020-04-12	482
2020-04-13	500
2020-04-14	501
2020-04-15	609
2020-04-16	513
2020-04-17	570
2020-04-18	609
2020-04-19	538
2020-04-20	840
2020-04-21	564
2020-04-22	614
2020-04-23	624
2020-04-24	675
2020-04-25	707
2020-04-26	568
2020-04-27	672
2020-04-28	584
2020-04-29	535
2020-04-30	660
2020-05-01	970
2020-05-02	610
2020-05-03	642
2020-05-04	701
2020-05-05	713
2020-05-06	615
2020-05-07	667
2020-05-08	629
2020-05-09	620
2020-05-10	929
2020-05-11	709
2020-05-12	675
2020-05-13	624
2020-05-14	648
2020-05-15	760
2020-05-16	661
2020-05-17	646
2020-05-18	711
2020-05-19	555
2020-05-20	814
2020-05-21	589
2020-05-22	559
2020-05-23	518
2020-05-24	495
2020-05-25	699
2020-05-26	583
2020-05-27	541
2020-05-28	565
2020-05-29	510
2020-05-30	535
2020-05-31	531
2020-06-01	905
2020-06-02	573
2020-06-03	527
2020-06-04	573
2020-06-05	590
2020-06-06	532
2020-06-07	480
2020-06-08	581
2020-06-09	509
2020-06-10	647
2020-06-11	463
2020-06-12	510
2020-06-13	424
2020-06-14	436
2020-06-15	535
2020-06-16	441
2020-06-17	443
2020-06-18	471
2020-06-19	453
2020-06-20	616
2020-06-21	402
2020-06-22	462
2020-06-23	434
2020-06-24	410
2020-06-25	468
2020-06-26	447
2020-06-27	367
2020-06-28	458
2020-06-29	419
2020-06-30	440
2020-07-01	700
2020-07-02	473
2020-07-03	508
2020-07-04	439
2020-07-05	480
2020-07-06	516
2020-07-07	479
2020-07-08	442
2020-07-09	407
2020-07-10	607
2020-07-11	399
2020-07-12	419
2020-07-13	488
2020-07-14	412
2020-07-15	475
2020-07-16	435
2020-07-17	466
2020-07-18	369
2020-07-19	382
2020-07-20	584
2020-07-21	424
2020-07-22	389
2020-07-23	383
2020-07-24	357
2020-07-25	477
2020-07-26	377
2020-07-27	409
2020-07-28	388
2020-07-29	320
2020-07-30	365
2020-07-31	336
2020-08-01	568
2020-08-02	348
2020-08-03	388
2020-08-04	346
2020-08-05	352
2020-08-06	381
2020-08-07	385
2020-08-08	381
2020-08-09	321
2020-08-10	506
2020-08-11	335
2020-08-12	343
2020-08-13	322
2020-08-14	361
2020-08-15	379
2020-08-16	291
2020-08-17	308
2020-08-18	325
2020-08-19	315
2020-08-20	400
2020-08-21	313
2020-08-22	321
2020-08-23	329
2020-08-24	343
2020-08-25	371
2020-08-26	348
2020-08-27	377
2020-08-28	419
2020-08-29	382
2020-08-30	430
2020-08-31	387
2020-09-01	355
2020-09-02	313
2020-09-03	302
